_id,id,longitude,latitude,alamat,desa,kecamatan,pemilik site,tinggi,luas tanah,tipe menara,tipe site,lokasi
1,250266,110.31496,-7.83801,Ngentak rt. 05,Bangunjiwo,Kasihan ,PT. Akses Prima Indonesia,42,150,4 KAKI,Greenfield,pemukiman
2,250096,110.3667,-7.836,Jl. Ring Road Selatan,Bangunharjo,Sewon,"PT. Bali Towerindo Sentra,Tbk.",18,2,Monopole,Greenfield,pemukiman
3,250094,110.33716,-7.80744,Jl. Sonopakis Kidul Rt. 02,Ngestiharjo,Kasihan,"PT. Bali Towerindo Sentra,Tbk.",18,2,Monopole,Greenfield,pemukiman
4,250271,110.420301,-7.820162,Jl. Wonosari  Dukuh Mantup Rt. 12,Baturetno,Banguntapan,"PT. Bali Towerindo Sentra,Tbk.",26,4,POLE,Greenfield,pemukiman
5,250274,110.280468,-7.802612,Jl. Monumen Brimob Rt. 009,Argomulyo,Sedayu ,"PT. Bali Towerindo Sentra,Tbk.",21,1,POLE,Greenfield,pemukiman
6,250275,110.26966,-7.81218,Jl. Wates Dusun Karanglo Rt. 06,Argomulyo,Sedayu ,"PT. Bali Towerindo Sentra,Tbk.",26,1,POLE,Greenfield,pemukiman
7,250097,110.40796,-7.8292,Jl. Ring Road Timur,Banguntapan,Banguntapan,"PT. Bali Towerindo Sentra,Tbk.",21,2,Monopole,Greenfield,pemukiman
8,250098,110.4102,-7.81567,Jl. Ring Road Selatan Dusun Jaranan,Banguntapan,Banguntapan,"PT. Bali Towerindo Sentra,Tbk.",21,2,Monopole,Greenfield,pemukiman
9,250099,110.408861,-7.807256,Jl. Ring Road Timur Jomblangan,Banguntapan,Banguntapan,"PT. Bali Towerindo Sentra,Tbk.",21,2,Monopole,Greenfield,pemukiman
10,250105,110.33842,-7.89331,Jl. Wahidin Sudiro Husodo Dusun Bantul Timur,Trirenggo,Bantul,"PT. Bali Towerindo Sentra,Tbk.",20,2,Monopole,Greenfield,pemukiman
11,250106,110.33773,-7.8955,Jl. RA. Kartini RT. 03 Dusun Bantul Timur,Trirenggo,Bantul,"PT. Bali Towerindo Sentra,Tbk.",20,2,Monopole,Greenfield,pemukiman
12,250109,110.3559,-7.84928,Jl. KH. Ali Maksum Dusun Glondong RT. 05,Panggungharjo,Sewon,"PT. Bali Towerindo Sentra,Tbk.",20,2,Monopole,Greenfield,pemukiman
13,250110,110.37357,-7.82762,Jl. Imogiri KM. 4 Dusun Jotawang RT. 01,Bangunharjo,Sewon,"PT. Bali Towerindo Sentra,Tbk.",20,2,Monopole,Greenfield,pemukiman
14,250113,110.39854,-7.79175,Jl. Sorowajan Baru,Banguntapan,Banguntapan,"PT. Bali Towerindo Sentra,Tbk.",20,2,Monopole,Greenfield,pemukiman
15,250117,110.34891,-7.81562,Jl. Bugisan Dusun Jomegatan RT. 13,Ngestiharjo,Kasihan,"PT. Bali Towerindo Sentra,Tbk.",20,2,Monopole,Greenfield,pemukiman
16,250125,110.40932,-7.80363,Jl. Ring Road Selatan,Banguntapan,Banguntapan,"PT. Bali Towerindo Sentra,Tbk.",20,2,Monopole,Greenfield,pemukiman
17,250127,110.336719,-7.82567,Jl. Ring Road Selatan  Dusun Menayu Kulon RT. 07,Tirtonirmolo,Kasihan,"PT. Bali Towerindo Sentra,Tbk.",21,2,Monopole,Greenfield,pemukiman
18,250128,110.4097,-7.824776,Jl. Ring Road Selatan Dusun Modalan RT. 03,Banguntapan,Banguntapan,"PT. Bali Towerindo Sentra,Tbk.",21,2,Monopole,Greenfield,pemukiman
19,250132,110.3569,-7.84075,Jl. KH. Ali Maksum,Panggungharjo,Sewon,"PT. Bali Towerindo Sentra,Tbk.",20,2,Monopole,Greenfield,pemukiman
20,250134,110.37395,-7.83206,Jl. Imogiri Barat,Bangunharjo,Sewon,"PT. Bali Towerindo Sentra,Tbk.",20,2,Monopole,Greenfield,pemukiman
21,250136,110.4053,-7.80315,Jl. Gatot Kaca Rt. 10 Rw. 34 Juru Gentong,Banguntapan,Banguntapan,"PT. Bali Towerindo Sentra,Tbk.",21,2,Monopole,Greenfield,pemukiman
